[ 2025-09-19 18:12:20,232 ] 17 root - INFO - Initiate the data ingestion
[ 2025-09-19 18:12:22,754 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-09-19 18:12:22,754 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-19 18:12:22,756 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-19 18:12:22,844 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-19 18:12:22,845 ] 19 root - INFO - Data Initiation Completed
[ 2025-09-19 18:12:22,861 ] 23 root - INFO - Initiate the data Validation
[ 2025-09-19 18:12:22,972 ] 33 root - INFO - Required number of columns:2
[ 2025-09-19 18:12:22,973 ] 34 root - INFO - Data frame has columns:31
[ 2025-09-19 18:12:22,973 ] 33 root - INFO - Required number of columns:2
[ 2025-09-19 18:12:22,973 ] 34 root - INFO - Data frame has columns:31
[ 2025-09-19 18:12:23,251 ] 25 root - INFO - data Validation Completed
[ 2025-09-19 18:12:23,252 ] 28 root - INFO - data Transformation started
[ 2025-09-19 18:12:23,252 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-19 18:12:23,252 ] 65 root - INFO - Starting data transformation
[ 2025-09-19 18:12:23,294 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-09-19 18:12:23,295 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-19 18:12:23,316 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-19 18:12:23,322 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-19 18:12:23,322 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-19 18:12:23,326 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-19 18:12:23,329 ] 32 root - INFO - data Transformation completed
